"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"109","Lost in Random","Sep 10, 2021","$29.99","N/A (N/A/78%)","200,000 .. 500,000","00:00 (00:00)","Zoink, Thunderful","Electronic Arts"
"118","Genesis Noir","Mar 26, 2021","$4.49","N/A (N/A/77%)","200,000 .. 500,000","00:42 (00:21)","Feral Cat Den","Fellow Traveller"
"130","Chorus","Dec 3, 2021","$24.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Deep Silver Fishlabs","Deep Silver"
"131","Curious Expedition 2","Jan 28, 2021","$19.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Maschinen-Mensch","Thunderful Publishing"
"133","Sable","Sep 23, 2021","$24.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Shedworks","Raw Fury"
"134","Journey To The Savage Planet","Jan 28, 2021","$29.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","Typhoon","505 Games"
"135","Twelve Minutes","Aug 19, 2021","$24.99","N/A (N/A/76%)","200,000 .. 500,000","00:08 (00:04)","Luis Antonio","Annapurna Interactive"
"136","Persona 5 Strikers","Feb 22, 2021","$59.99","N/A (N/A/76%)","200,000 .. 500,000","00:00 (00:00)","ATLUS","SEGA"
"137","Tormented Souls","Aug 26, 2021","$19.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","Dual Effect, Abstract Digital","PQube"
"138","Black Book","Aug 10, 2021","$24.99","N/A (N/A/75%)","200,000 .. 500,000","00:02 (00:01)","Morteshka","HypeTrain Digital"
"147","In Sound Mind","Sep 28, 2021","$34.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","We Create Stuff","Modus Games"
"155","MechWarrior 5: Mercenaries","May 26, 2021","$29.99","N/A (N/A/73%)","200,000 .. 500,000","05:26 (02:43)","Piranha Games Inc.","Fireshine Games"
"166","Idol Manager","Jul 26, 2021","$19.99","N/A (N/A/73%)","200,000 .. 500,000","00:00 (00:00)","Glitch Pitch","PLAYISM"
"167","SLUDGE LIFE","Jun 2, 2021","$14.99","N/A (N/A/73%)","200,000 .. 500,000","00:01 (00:00)","Terri Vellmann, Doseone","Devolver Digital"
"174","Endzone - A World Apart","Mar 18, 2021","$29.99","N/A (N/A/72%)","200,000 .. 500,000","00:00 (00:00)","Gentlymad Studios","Assemble Entertainment, WhisperGames"
"175","Turnip Boy Commits Tax Evasion","Apr 22, 2021","$14.99","N/A (N/A/72%)","200,000 .. 500,000","00:00 (00:00)","Snoozy Kazoo","Graffiti Games"
"181","The Sinking City","Feb 26, 2021","$39.99","N/A (N/A/71%)","200,000 .. 500,000","00:28 (00:14)","Frogwares","Nacon"
"186","Quantum League","Apr 15, 2021","N/A","N/A (N/A/70%)","200,000 .. 500,000","00:00 (00:00)","Nimble Giant Entertainment","Nimble Giant Entertainment"
"204","INDUSTRIA","Sep 30, 2021","$19.99","N/A (N/A/67%)","200,000 .. 500,000","00:00 (00:00)","Bleakmill","Headup Publishing"
"208","BIOMUTANT","May 25, 2021","$15.99","N/A (N/A/66%)","200,000 .. 500,000","00:00 (00:00)","Experiment 101","THQ Nordic"
"211","Stronghold: Warlords","Mar 9, 2021","$39.99","N/A (N/A/65%)","200,000 .. 500,000","00:00 (00:00)","FireFly Studios","FireFly Studios"
"215","Hammerting","Nov 16, 2021","$4.99","N/A (N/A/64%)","200,000 .. 500,000","00:00 (00:00)","Warpzone Studios","Team17 Digital"
"314","Atrius Star","Feb 10, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Atomic Lollypop","Atomic Lollypop"
"395","スピリットウィッシュ〜三英雄と冒険の大地‪〜","Apr 1, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","NEONSTUDIO Corp.","SUBETE"
"407","Giants","May 7, 2021","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Singta inc.","Singta Inc."
"461","Wonhon: Prologue","Feb 28, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BUSAN SANAI GAMES","SuperGG.com"
"498","Monstrum 2 Beta","Jan 22, 2021","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Team Junkfish","Junkfish Limited"
"548","Night in Riverager","Feb 2, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Two Star Games","V Publishing"
"578","CODE2040","Feb 1, 2021","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","WANIN Games, Team Weaver","WANIN Games"
"588","RAM Pressure","Sep 15, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","QuadCom Interactive, GDT","GDT"
"600","M.A.R.S.","Oct 28, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","YingPei Games","SubaGames"
"603","Evil Inside - Prologue","Mar 4, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","JanduSoft","JanduSoft"
"609","Farm Manager 2021: Prologue","Jan 14, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cleversan Games","PlayWay S.A., Sim Farm S.A."
"616","Orqa FPV.SkyDive","May 31, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ORQA, INC.","ORQA, INC."
"617","Dis The Game","Feb 18, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Leaf","DisStream"
"618","Holodrive","Mar 16, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BitCake Studio","Versus Evil"
"622","ANOTHER EDEN","Mar 30, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","WFS, Inc.","WFS, Inc."
"623","Rushdown Revolt - Alpha Testing","Jan 27, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Vortex Games","Vortex Games"
"624","NGU INDUSTRIES","Apr 5, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","4G","4G"
"630","Durka Simulator","Jan 1, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Crucial Experiment","Kochurov-Tools"
"631","Animaze by FaceRig","Nov 17, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:16 (00:15)","Holotech Studios Inc.","Holotech Studios Inc."
"632","ChilloutVR","Feb 8, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Alpha Blend Interactive","Alpha Blend Interactive"
"633","hexceed","Jan 15, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ToastieLabs","ToastieLabs"
"634","The Tenants - Free Trial","Mar 9, 2021","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ancient Forge Studio","Frozen District"
"635","BEACHED","Aug 4, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gradient Studios","Gradient Studios"
"636","OMFG: One Million Fatal Guns","Jan 5, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gun Hit Wonders","DigiPen Institute of Technology"
"638","SCP: Escape Together","Jan 6, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SCP: Escape Together development team","SCP: Escape Together development team"
"639","The Perfect Tower II","Feb 26, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Fire Sword Studios","Fire Sword Studios"
"640","Prison Simulator: Prologue","May 20, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Baked Games S.A.","Baked Games S.A., PlayWay S.A."
"642","Idle Big Devil","Nov 3, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","HONG KONG SPARK SOFTWARE TECHNOLOGY CO., LIMITED","HONG KONG SPARK SOFTWARE TECHNOLOGY CO., LIMITED"
"643","Gladio and Glory","Mar 16, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Adi Zhavo","Adi Zhavo"
"646","Cloud Climber","Jan 14, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Two Star Games","Two Star Games"
"647","Word Game: Episode 0","Jan 14, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Team9","Team9"
"648","XERA: Survival","Sep 26, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Spotted Kiwi Interactive","Spotted Kiwi Interactive"
"649","Contraband Police: Prologue","Feb 16, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Crazy Rocks","PlayWay S.A."
"664","Dead Estate","Oct 19, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Milkbar Lads","2 Left Thumbs"
"665","Factory Town","Nov 17, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Erik Asmussen","Erik Asmussen"
"666","Becastled","Feb 8, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","01:12 (00:36)","Mana Potion Studios","Mana Potion Studios"
"667","Savage Lands","Dec 16, 2021","$3.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Last Bastion Studios LLC","Last Bastion Studios LLC"
"669","Starbase","Jul 29, 2021","$34.99","N/A (N/A)","200,000 .. 500,000","01:42 (00:51)","Frozenbyte","Frozenbyte"
"670","Yakuza 5 Remastered","Jan 28, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ryu Ga Gotoku Studio","SEGA"
"671","Yakuza 4 Remastered","Jan 28, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","04:12 (02:06)","Ryu Ga Gotoku Studio","SEGA"
"672","The Bus","Mar 25, 2021","$34.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","TML-Studios","AeroSoft GmbH"
"673","Madden NFL 22","Aug 19, 2021","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Tiburon","Electronic Arts"
"674","SNKRX","May 17, 2021","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","a327ex","a327ex"
"676","Rubber Bandits","Dec 2, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:57 (00:28)","Flashbulb","Flashbulb"
"679","Clownfield 2042","Dec 31, 2021","$0.99","N/A (N/A)","200,000 .. 500,000","00:04 (00:02)","RIVERSIDE SPORTS","RIVERSIDE SPORTS"
"680","The Last Stand: Aftermath","Nov 16, 2021","$12.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Con Artist Games","Armor Games Studios"
"681","Ghost Exorcism INC.","Jul 15, 2021","$11.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","StudioGoupil","StudioGoupil"
"683","FATAL FRAME / PROJECT ZERO: Maiden of Black Water","Oct 27, 2021","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD."
"684","Necromunda: Hired Gun","May 31, 2021","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Streum On Studio","Focus Entertainment"
"685","Moncage","Nov 15, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Optillusion","XD"
"686","Teamfight Manager","Mar 1, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:57 (00:28)","Team Samoyed","Team Samoyed"
"687","Mortal Shell","Aug 18, 2021","$29.99","N/A (N/A)","200,000 .. 500,000","01:18 (00:39)","Cold Symmetry","Playstack"
"689","Rebel Inc: Escalation","Oct 13, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ndemic Creations","Ndemic Creations"
"690","CryoFall","Apr 29, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","06:20 (03:10)","AtomicTorch Studio","Daedalic Entertainment"
"692","Emily is Away <3","Apr 16, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Kyle Seeley","Kyle Seeley"
"693","FOREWARNED","Sep 10, 2021","$12.99","N/A (N/A)","200,000 .. 500,000","00:22 (00:11)","Dreambyte Games","Dreambyte Games"
"695","Yakuza 6: The Song of Life","Mar 25, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ryu Ga Gotoku Studio","SEGA"
"696","PULSAR: Lost Colony","Jun 22, 2021","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Leafy Games","Leafy Games"
"697","Age of Darkness: Final Stand","Oct 7, 2021","$21.99","N/A (N/A)","200,000 .. 500,000","05:12 (02:36)","PlaySide Studios","Team17"
"699","FINAL FANTASY","Jul 28, 2021","$11.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"700","HOT WHEELS UNLEASHED","Sep 30, 2021","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"701","The Tenants","Mar 25, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ancient Forge","Frozen District"
"704","Hellish Quart","Feb 16, 2021","$16.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Kubold","Kubold"
"707","Far Away","Aug 17, 2021","$12.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gratesca","Thermite Games"
"709","Operation: Tango","Jun 1, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:45 (00:44)","Clever Plays","Clever Plays"
"711","The Rewinder","Sep 9, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","MistyMountainStudio","Gamera Games"
"712","The Dark Pictures Anthology: House of Ashes","Oct 21, 2021","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Supermassive Games","BANDAI NAMCO Entertainment Europe"
"713","Curse of the Dead Gods","Feb 23, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Passtech Games","Focus Entertainment"
"714","BAD END THEATER","Oct 26, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:01 (00:00)","NomnomNami","NomnomNami"
"715","Hobo: Tough Life","Apr 12, 2021","$29.99","N/A (N/A)","200,000 .. 500,000","00:11 (00:05)","Perun Creative","Perun Creative"
"717","Tavern Master","Nov 16, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Untitled Studio","Untitled Studio, WhisperGames"
"718","The Medium","Jan 2021","$49.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Bloober Team","Bloober Team SA , NA PUBLISHING INC."
"719","Sprocket","Aug 26, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Hamish Dunn","Hamish Dunn"
"724","Across the Obelisk","Apr 8, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dreamsite Games","Paradox Interactive, Paradox Arc"
"725","ALTF4","Nov 12, 2021","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","PUMPKIM","PUMPKIM"
"730","小白兔电商~Bunny e-Shop","Nov 11, 2021","$7.8","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","落叶岛项目组, 橘子班","NVLMaker"
"731","Mon Bazou","Dec 16, 2021","$15.99","N/A (N/A)","200,000 .. 500,000","00:33 (00:16)","Santa Goat","Santa Goat"
"735","Lunch Lady","Apr 15, 2021","$4.99","N/A (N/A)","200,000 .. 500,000","00:01 (00:00)","Manic Mice","Manic Mice"
"736","Before Your Eyes","Apr 8, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","GoodbyeWorld Games","Skybound Games"
"739","Fate Seeker II","Nov 22, 2021","$22.6","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","甲山林娛樂股份有限公司","甲山林娛樂股份有限公司"
"743","Milk outside a bag of milk outside a bag of milk","Dec 16, 2021","$8.99","N/A (N/A)","200,000 .. 500,000","00:49 (00:24)","Nikita Kryukov","Nikita Kryukov"
"746","The Room 4: Old Sins","Feb 11, 2021","$8.99","N/A (N/A)","200,000 .. 500,000","00:52 (00:26)","Fireproof Games","Fireproof Games"
"750","Pro Soccer Online","Nov 15, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","11:18 (06:33)","Skywall Studios LLC","Skywall Studios LLC"
"758","Tiny Bunny","Apr 16, 2021","$12.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Saikono","Saikono"
"759","Touhou Mystia's Izakaya","Oct 1, 2021","$5.99","N/A (N/A)","200,000 .. 500,000","00:26 (00:13)","二色幽紫蝶, Re零同人社","二色幽紫蝶, Re零同人社"
"761","Rhythm Doctor","Feb 26, 2021","$15.99","N/A (N/A)","200,000 .. 500,000","01:50 (01:16)","7th Beat Games","7th Beat Games, indienova"
"2725","Hormone Wars - Tower Defense","Nov 10, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","3d pixel art studio","3d pixel art studio"
"4851","村庄-The Village","Mar 24, 2021","$8.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","橙光游戏","橙光游戏"
"5075","Miasma: Citizens of Free Thought","Nov 3, 2021","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ESP Games","David Addis"
"5279","Welcome To Lakewood","Jun 17, 2021","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Space Slug Studios","Space Slug Studios"
"5346","Valkyrie: Journey To Midgard","Aug 28, 2021","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Succubella Games","Angel And Demons"
"6096","Shillelagh","Nov 10, 2021","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Andrew Simon Thomas LLC","Andrew Simon Thomas LLC"
"6264","Pegasus: Broken Wings","Sep 15, 2021","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Astronomic Games","Astronomic Games"
"6684","The Dawning Clocks Of Time","Sep 8, 2021","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Spacefarer Games Limited","Spacefarer Games Limited"
"6732","Deep Cave","Dec 23, 2021","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","galesoozka","galesoozka"
"7036","ROUGH KUTS: Night of the Living Dead","Mar 23, 2021","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ROUGH KUTS","ROUGH KUTS"
"7409","Samurai Chess","Apr 16, 2021","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Minimol Games","Minimol Games"
"8124","HEXCRAFT: Harlequin Fair","Oct 22, 2021","$12.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Oleander Garden","Hex Code Coven"
"8310","Star Shift Origins","Nov 8, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Psychronic Game Studios","Psychronic Games"
"8374","Gem Wizards Tactics","Feb 16, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Keith Burgun Games","Keith Burgun Games"
"8594","Wonhon: A Vengeful Spirit","Jul 15, 2021","$15.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BUSAN SANAI GAMES","SuperGG.com"
"8747","戾谈","Jan 18, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SPG Mistarille","SPG Mistarille"
"8942","Timerunner","Dec 13, 2021","$5.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sicarius","G-DEVS.com"
"8958","The End of Dyeus","Oct 15, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Curious Planet","Curious Planet"
"9144","White Hell","Aug 12, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Robert Raulus, Mikko Tamper, Antti Allén","KeleSoft avoin yhtiö"
"9334","Mayhem in Single Valley","May 20, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Fluxscopic Ltd.","tinyBuild"
"9387","Last Room","Jun 14, 2021","$0.41","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","RelluRealGames","Gigantum Games"
"9409","Fake Hostel","Sep 16, 2021","$3.04","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Romantic Room","Romantic Room"
"9461","Land of War - The Beginning","Jun 10, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","MS GAMES","MS GAMES SP. Z O.O."
"9640","GRAVEN","May 26, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Slipgate Ironworks™","3D Realms, Fulqrum Publishing"
"9771","Rift Wizard","Sep 1, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dylan White","Dylan White"
"9804","No Umbrellas Allowed","Sep 3, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Hoochoo Game Studios","Hoochoo Game Studios"
"9840","Siege Survival: Gloria Victis","May 18, 2021","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Black Eye Games","Ravenscourt"
"9852","Toree 3D","Apr 9, 2021","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Siactro","Siactro"
"9854","FINAL FANTASY V","Nov 10, 2021","$17.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"9857","Never Return","Aug 20, 2021","$13.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","YeMuNetWork","Cyberisle"
"9877","Puyo Puyo Tetris 2","Mar 23, 2021","$29.99","N/A (N/A)","200,000 .. 500,000","00:09 (00:04)","SEGA","SEGA"
"9887","SYNTHETIK 2","Nov 11, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Flow Fire Games","Flow Fire Games"
"9892","Siralim Ultimate","Dec 3, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Thylacine Studios","Thylacine Studios LLC"
"9894","FINAL FANTASY II","Jul 28, 2021","$11.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"9895","HellSign","Feb 24, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ballistic Interactive","Ballistic Interactive"
"9910","Paper Bride","Dec 2, 2021","$7.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","HeartBeat Plus","HeartBeat Plus"
"9914","DYSMANTLE","Nov 16, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","10tons Ltd","10tons Ltd"
"9915","Phoenotopia: Awakening","Jan 21, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cape Cosmic","Cape Cosmic, Flyhigh Works"
"9920","Stolen Realm","Oct 14, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","02:30 (01:15)","Burst2Flame Entertainment","Burst2Flame Entertainment"
"9923","Phantom Abyss","Jun 21, 2021","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Team WIBY","Devolver Digital"
"9924","Archvale","Dec 2, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","idoz & phops","Humble Games"
"9925","Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure","Nov 9, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:01 (00:00)","Gearbox Software, Stray Kite Studios","2K"
"9926","Slipways","Jun 3, 2021","$16.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Beetlewing","Beetlewing"
"9927","Need for Drive - Open World Multiplayer Racing","Feb 17, 2021","$0.99","N/A (N/A)","200,000 .. 500,000","00:04 (00:02)","Success Games","Success Games, Cristian Manolachi, Atomic Fabrik"
